# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.to.snapshot.ms,1751140131288000000,1751140191288000000,0
workspaceModel.on.changed.ms,1751140131288000000,1751140191288000000,0
workspaceModel.collect.changes.ms,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValue.clear.count,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValue.calculated.count,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1751140131288000000,1751140191288000000,0
workspaceModel.updates.precise.ms,1751140131288000000,1751140191288000000,0
workspaceModel.on.before.changed.ms,1751140131288000000,1751140191288000000,0
FlushQueue.queueSize90P,1751140131288000000,1751140191288000000,0
FlushQueue.executionTimeAvgNs,1751140131288000000,1751140191288000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1751140131288000000,1751140191288000000,12
AWTEventQueue.eventsDispatched,1751140131288000000,1751140191288000000,0
FlushQueue.queueSizeAvg,1751140131288000000,1751140191288000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1751140131288000000,1751140191288000000,0
AWTEventQueue.dispatchTime90PNs,1751140131288000000,1751140191288000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1751140131288000000,1751140191288000000,20
ReadAction.executionsCount,1751140131288000000,1751140191288000000,27
FlushQueue.queueSizeMax,1751140131288000000,1751140191288000000,0
FlushQueue.waitingTimeAvgNs,1751140131288000000,1751140191288000000,0.0
NonBlockingReadAction.failedExecutionsCount,1751140131288000000,1751140191288000000,0
FlushQueue.executionTimeMaxNs,1751140131288000000,1751140191288000000,0
FlushQueue.waitingTimeMaxNs,1751140131288000000,1751140191288000000,0
FlushQueue.waitingTime90PNs,1751140131288000000,1751140191288000000,0
AWTEventQueue.dispatchTimeAvgNs,1751140131288000000,1751140191288000000,0.0
FlushQueue.executionTime90PNs,1751140131288000000,1751140191288000000,0
NonBlockingReadAction.failedExecutionTimeUs,1751140131288000000,1751140191288000000,0
AWTEventQueue.dispatchTimeTotalNS,1751140131288000000,1751140191288000000,208473835
FlushQueue.tasksExecuted,1751140131288000000,1751140191288000000,0
WriteAction.executionsCount,1751140131288000000,1751140191288000000,0
Indexing.writesQueuedMax,1751140131288000000,1751140191288000000,0
Indexing.writer_4.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexing.totalTimeIndexersSleptMs,1751140131288000000,1751140191288000000,0
Indexing.writer_6.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexes.entries.lookups,1751140131288000000,1751140191288000000,0
Indexing.cache.totalCacheEvicted,1751140131288000000,1751140191288000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexes.stubs.lookups,1751140131288000000,1751140191288000000,0
Indexing.cache.totalCacheAccesses,1751140131288000000,1751140191288000000,0
Indexing.writer_5.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexing.cache.totalCacheMisses,1751140131288000000,1751140191288000000,0
Indexes.allKeys.lookups,1751140131288000000,1751140191288000000,0
Indexing.writesQueuedMin,1751140131288000000,1751140191288000000,9223372036854775807
Indexes.stubs.lookupDuration90PMs,1751140131288000000,1751140191288000000,0.0
Indexes.stubs.lookupDurationMaxMs,1751140131288000000,1751140191288000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexes.allKeys.lookupDuration90PMs,1751140131288000000,1751140191288000000,0.0
Indexes.entries.lookupDurationMaxMs,1751140131288000000,1751140191288000000,0.0
Indexes.entries.lookupDurationAvgMs,1751140131288000000,1751140191288000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1751140131288000000,1751140191288000000,0.0
Indexes.stubs.lookupDurationAvgMs,1751140131288000000,1751140191288000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1751140131288000000,1751140191288000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexing.writer_7.totalTimeSpentWritingMs,1751140131288000000,1751140191288000000,0
Indexes.entries.lookupDuration90PMs,1751140131288000000,1751140191288000000,0.0
cacheStateStorage.set.counter,1751140131288000000,1751140191288000000,0
cacheStateStorage.set.duration,1751140131288000000,1751140191288000000,0
cacheStateStorage.get.duration,1751140131288000000,1751140191288000000,0
cacheStateStorage.get.counter,1751140131288000000,1751140191288000000,0
MEM.fileMappingsRamBytes,1751140131288000000,1751140191288000000,3096576
JVM.totalTimeAtSafepointsMs,1751140131288000000,1751140191288000000,0
JVM.totalBytesAllocated,1751140131288000000,1751140191288000000,64356744
JVM.maxThreadCount,1751140131288000000,1751140191288000000,367
JVM.totalSafepointCount,1751140131288000000,1751140191288000000,0
OS.loadAverage,1751140131288000000,1751140191288000000,1.69
JVM.totalDirectByteBuffersBytes,1751140131288000000,1751140191288000000,220267537
JVM.totalCpuTimeMs,1751140131288000000,1751140191288000000,2890
JVM.totalTimeToSafepointsMs,1751140131288000000,1751140191288000000,0
MEM.ramPlusSwapMinusFileMappingsBytes,1751140131288000000,1751140191288000000,3748925440
MEM.ramMinusFileMappingsBytes,1751140131288000000,1751140191288000000,3748925440
JVM.usedNativeBytes,1751140131288000000,1751140191288000000,678326256
MEM.ramBytes,1751140131288000000,1751140191288000000,3752022016
JVM.GC.collectionTimesMs,1751140131288000000,1751140191288000000,0
JVM.newThreadsCount,1751140131288000000,1751140191288000000,1
JVM.usedHeapBytes,1751140131288000000,1751140191288000000,1724814504
JVM.maxHeapBytes,1751140131288000000,1751140191288000000,2147483648
JVM.committedHeapBytes,1751140131288000000,1751140191288000000,2147483648
JVM.GC.collections,1751140131288000000,1751140191288000000,0
JVM.threadCount,1751140131288000000,1751140191288000000,148
jps.facet.change.listener.process.change.events.ms,1751140191288000000,1751140251288000000,0
jps.modifiable.module.model.bridge.disposing.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1751140191288000000,1751140251288000000,0
workspaceModel.sync.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleBridge.before.changed.ms,1751140191288000000,1751140251288000000,0
jps.project.serializers.load.ms,1751140191288000000,1751140251288000000,0
workspaceModel.global.updates.ms,1751140191288000000,1751140251288000000,0
jps.facet.change.listener.before.change.events.ms,1751140191288000000,1751140251288000000,0
jps.global.get.library.ms,1751140191288000000,1751140251288000000,0
